interview_number,interview_date,interview_time,respondent_gender,respondent_age,respondent_class,respondent_home,number_alters,alter1_gender,alter1_age,alter1_class,alter1_home,alter1_howclose,alter1_howoften,alter2_gender,alter2_age,alter2_class,alter2_home,alter2_howclose,alter2_howoften,alter3_gender,alter3_age,alter3_class,alter3_home,alter3_howclose,alter3_howoften,alter4_gender,alter4_age,alter4_class,alter4_home,alter4_howclose,alter4_howoften,alter5_gender,alter5_age,alter5_class,alter5_home,alter5_howclose,alter5_howoften
3,1/24/2019,10:35:00,Female,21,Senior,Rest of World,5,Female,22,Senior,Rest of United States,Close friend,More than once a week,Female,24,Other,Rest of World,Close friend,More than once a week,Female,57,Other,Rest of World,Close friend,More than once a week,Female,21,Senior,LA Area,Friend,Once a month,Male,21,Junior,Rest of United States,Close friend,More than once a week
2,1/26/2019,18:42:00,Female,28,Other,Rest of World,5,Female,26,Senior,Rest of World,Close friend,More than once a week,Female,24,Other,Rest of World,Friend,More than once a week,Female,52,Other,Rest of World,Close friend,Once a week,Female,29,Other,Bay Area,Friend,Once a week,Male,26,Senior,Bay Area,Acquaintance,More than once a week
3,1/27/2019,15:24:00,Female,26,Other,Bay Area,4,Female,30,Other,Rest of United States,Close friend,Once a week,Female,26,Other,Rest of World,Close friend,Once a week,Female,32,Other,Rest of California,Close friend,More than once a week,Female,29,Other,Rest of World,Close friend,Once a month,NA,NA,NA,NA,NA,NA
1,1/24/2019,10:40:00,Female,22,Senior,Bay Area,5,Other,23,Other,Rest of United States,Close friend,More than once a week,Male,21,Senior,Rest of California,Close friend,More than once a week,Female,55,Other,Bay Area,Close friend,More than once a week,Female,21,Junior,Rest of California,Close friend,More than once a week,Female,20,Junior,Rest of United States,Close friend,More than once a week
2,1/28/2019,16:35:00,Female,19,Sophomore,LA Area,5,Female,21,Junior,LA Area,Close friend,Once a week,Female,24,Other,LA Area,Close friend,Once a week,Female,19,Sophomore,Rest of United States,Close friend,More than once a week,Female,19,Sophomore,Bay Area,Friend,Once a week,Male,20,Junior,Rest of United States,Close friend,Once a week
3,1/28/2019,18:08:00,Male,20,Junior,Bay Area,5,Female,21,Junior,Bay Area,Close friend,More than once a week,Male,20,Junior,LA Area,Close friend,Once a week,Male,21,Junior,Bay Area,Friend,Once a month,Male,20,Sophomore,LA Area,Close friend,More than once a week,Female,24,Other,Bay Area,Close friend,Once a week
3,1/28/2019,18:52:00,Female,20,Junior,Rest of United States,5,Female,23,Other,Rest of United States,Close friend,More than once a week,Female,20,Junior,Rest of United States,Close friend,More than once a week,Male,20,Junior,LA Area,Close friend,More than once a week,Male,55,Other,Rest of United States,Close friend,Once a month,Female,20,Junior,Rest of United States,Close friend,More than once a week
2,1/28/2019,10:23:00,Male,23,Other,LA Area,5,Female,21,Senior,Bay Area,Close friend,More than once a week,Male,20,Senior,LA Area,Close friend,More than once a week,Male,19,Sophomore,LA Area,Close friend,Once a week,Male,23,Other,LA Area,Close friend,Once a week,Female,23,Other,Rest of California,Close friend,Once a month
3,1/28/2019,01:49:00,Female,20,Junior,LA Area,5,Female,20,Junior,LA Area,Friend,Once a week,Female,20,Junior,LA Area,Friend,Once a week,Male,20,Junior,LA Area,Friend,Once a week,Male,20,Junior,LA Area,Friend,Once a week,Female,20,Junior,Bay Area,Friend,Once a week
2,1/28/2019,01:56:00,Male,22,Junior,LA Area,5,Male,18,Freshman,LA Area,Friend,More than once a week,Female,22,Senior,Rest of United States,Friend,Once a week,Male,22,Other,Rest of United States,Friend,More than once a week,Male,29,Other,Rest of United States,Close friend,Once a month,Female,23,Senior,Rest of United States,Friend,Once a week
1,1/24/2019,10:35:00,Male,21,Senior,LA Area,5,Other,23,Other,LA Area,Close friend,More than once a week,Male,21,Senior,Rest of United States,Close friend,More than once a week,Female,55,Other,Rest of California,Close friend,More than once a week,Female,21,Senior,Bay Area,Friend,Once a week,Male,28,Other,Rest of United States,Acquaintance,Once a week
1,1/24/2019,10:35:00,Female,21,Senior,Rest of World,3,Female,45,Other,Rest of World,Close friend,More than once a week,Female,21,Senior,Rest of World,Friend,Once a week,Female,21,Senior,Rest of World,Friend,Once a week,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1/25/2019,18:12:00,Female,21,Senior,Rest of World,3,Male,50,Other,Rest of World,Close friend,More than once a week,Female,21,Senior,Rest of World,Close friend,Once a month,Male,21,Senior,Rest of World,Close friend,Once a week,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1/26/2019,19:31:00,Male,21,Senior,Rest of World,4,Female,45,Other,Rest of World,Close friend,More than once a week,Male,20,Senior,Rest of World,Close friend,More than once a week,Male,20,Other,Rest of World,Friend,Once a month,Female,25,Other,Rest of World,Friend,Once a month,NA,NA,NA,NA,NA,NA
1,1/21/2019,10:41:00,Female,28,Other,Rest of World,5,Male,26,Other,Rest of World,Close friend,More than once a week,Female,31,Other,Rest of World,Close friend,More than once a week,Male,37,Other,Rest of World,Close friend,More than once a week,Male,29,Senior,Rest of World,Friend,More than once a week,Male,26,Senior,Rest of World,Friend,More than once a week
